[2024-05-27 11:14:52] INFO (traceId:6654955C9CA81|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: GET /backoffice/ :: Ctx:[] 
[2024-05-27 11:14:52] DEBUG (traceId:6654955C9CA81|customerId:) {:L} :: Loading controller AdminDashboardController :: Ctx:{"controller_class":"AdminDashboardController"} 
[2024-05-27 11:14:52] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/Blowfish.php:L39} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/Blowfish.php","line":69} 
[2024-05-27 11:14:52] INFO (traceId:6654955CDBD1F|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: GET /backoffice/index.php?controller=AdminLogin&token=1d7ea8739569ec234f72c2c4cffbf245 :: Ctx:[] 
[2024-05-27 11:14:52] DEBUG (traceId:6654955CDBD1F|customerId:) {:L} :: Loading controller AdminLoginController :: Ctx:{"controller_class":"AdminLoginController"} 
[2024-05-27 11:14:52] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 11:14:52] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 11:14:53] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2341} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":3283} 
[2024-05-27 11:14:53] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/Blowfish.php:L39} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/Blowfish.php","line":69} 
[2024-05-27 11:14:53] DEBUG (traceId:6654955CDBD1F|customerId:) {:L} :: Returning status 200 :: Ctx:{"controller_class":"AdminLoginController"} 
[2024-05-27 11:14:55] INFO (traceId:6654955FA0D04|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: GET /img/favicon.ico :: Ctx:[] 
[2024-05-27 11:14:55] DEBUG (traceId:6654955FA0D04|customerId:) {:L} :: Loading controller PageNotFoundController :: Ctx:{"controller_class":"PageNotFoundController"} 
[2024-05-27 12:25:45] INFO (traceId:6654A5F9124CA|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: GET /backoffice/index.php?controller=AdminLogin&token=1d7ea8739569ec234f72c2c4cffbf245 :: Ctx:[] 
[2024-05-27 12:25:45] DEBUG (traceId:6654A5F9124CA|customerId:) {:L} :: Loading controller AdminLoginController :: Ctx:{"controller_class":"AdminLoginController"} 
[2024-05-27 12:25:45] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 12:25:45] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:25:45] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2341} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":3283} 
[2024-05-27 12:25:45] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/Blowfish.php:L39} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/Blowfish.php","line":69} 
[2024-05-27 12:25:45] DEBUG (traceId:6654A5F9124CA|customerId:) {:L} :: Returning status 200 :: Ctx:{"controller_class":"AdminLoginController"} 
[2024-05-27 12:26:00] INFO (traceId:6654A608A6240|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: POST /backoffice/ajax-tab.php?rand=1716823560618 :: Ctx:[] 
[2024-05-27 12:26:00] DEBUG (traceId:6654A608A6240|customerId:) {:L} :: Loading controller AdminLoginController :: Ctx:{"controller_class":"AdminLoginController"} 
[2024-05-27 12:26:00] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 12:26:00] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:26:01] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/Blowfish.php:L39} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/Blowfish.php","line":69} 
[2024-05-27 12:26:04] INFO (traceId:6654A60C7AD64|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: POST /backoffice/ajax-tab.php?rand=1716823564448 :: Ctx:[] 
[2024-05-27 12:26:04] DEBUG (traceId:6654A60C7AD64|customerId:) {:L} :: Loading controller AdminLoginController :: Ctx:{"controller_class":"AdminLoginController"} 
[2024-05-27 12:26:04] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 12:26:04] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:26:05] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/Blowfish.php:L39} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/Blowfish.php","line":69} 
[2024-05-27 12:26:10] INFO (traceId:6654A6120185E|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: POST /backoffice/ajax-tab.php?rand=1716823569957 :: Ctx:[] 
[2024-05-27 12:26:10] DEBUG (traceId:6654A6120185E|customerId:) {:L} :: Loading controller AdminLoginController :: Ctx:{"controller_class":"AdminLoginController"} 
[2024-05-27 12:26:10] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 12:26:10] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:26:10] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/Blowfish.php:L39} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/Blowfish.php","line":69} 
[2024-05-27 12:26:13] INFO (traceId:6654A6151947C|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: POST /backoffice/ajax-tab.php?rand=1716823573053 :: Ctx:[] 
[2024-05-27 12:26:13] DEBUG (traceId:6654A6151947C|customerId:) {:L} :: Loading controller AdminLoginController :: Ctx:{"controller_class":"AdminLoginController"} 
[2024-05-27 12:26:13] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 12:26:13] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:26:13] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/Blowfish.php:L39} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/Blowfish.php","line":69} 
[2024-05-27 12:26:15] INFO (traceId:6654A6177E74F|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: POST /backoffice/ajax-tab.php?rand=1716823575468 :: Ctx:[] 
[2024-05-27 12:26:15] DEBUG (traceId:6654A6177E74F|customerId:) {:L} :: Loading controller AdminLoginController :: Ctx:{"controller_class":"AdminLoginController"} 
[2024-05-27 12:26:15] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 12:26:15] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:26:16] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/Blowfish.php:L39} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/Blowfish.php","line":69} 
[2024-05-27 12:26:22] INFO (traceId:6654A61ECE3F4|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: GET /backoffice/ :: Ctx:[] 
[2024-05-27 12:26:22] DEBUG (traceId:6654A61ECE3F4|customerId:) {:L} :: Loading controller AdminDashboardController :: Ctx:{"controller_class":"AdminDashboardController"} 
[2024-05-27 12:26:22] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/Blowfish.php:L39} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/Blowfish.php","line":69} 
[2024-05-27 12:26:22] INFO (traceId:6654A61EE8456|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: GET /backoffice/index.php?controller=AdminLogin&token=1d7ea8739569ec234f72c2c4cffbf245 :: Ctx:[] 
[2024-05-27 12:26:22] DEBUG (traceId:6654A61EE8456|customerId:) {:L} :: Loading controller AdminLoginController :: Ctx:{"controller_class":"AdminLoginController"} 
[2024-05-27 12:26:22] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 12:26:23] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:26:23] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2341} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":3283} 
[2024-05-27 12:26:23] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/Blowfish.php:L39} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/Blowfish.php","line":69} 
[2024-05-27 12:26:23] DEBUG (traceId:6654A61EE8456|customerId:) {:L} :: Returning status 200 :: Ctx:{"controller_class":"AdminLoginController"} 
[2024-05-27 12:26:30] INFO (traceId:6654A62630F06|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: POST /backoffice/ajax-tab.php?rand=1716823590143 :: Ctx:[] 
[2024-05-27 12:26:30] DEBUG (traceId:6654A62630F06|customerId:) {:L} :: Loading controller AdminLoginController :: Ctx:{"controller_class":"AdminLoginController"} 
[2024-05-27 12:26:30] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 12:26:30] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:26:30] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/Blowfish.php:L39} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/Blowfish.php","line":69} 
[2024-05-27 12:26:30] INFO (traceId:6654A626D05DC|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: GET /backoffice/index.php?controller=AdminDashboard&token=d7d8aba5957e24591d9861fd09565048 :: Ctx:[] 
[2024-05-27 12:26:30] DEBUG (traceId:6654A626D05DC|customerId:) {:L} :: Loading controller AdminDashboardController :: Ctx:{"controller_class":"AdminDashboardController"} 
[2024-05-27 12:26:31] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/Blowfish.php:L39} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/Blowfish.php","line":69} 
[2024-05-27 12:26:31] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
